Hostname,Location,Date,Time,Temp,Hum,Press,Alt,SM1_T,SM1_M,SM2_T,SM2_M
bunty,BCP_Nootsie,2022-10-31,02:20:02,12.9203125,90.18058696041403,982.1353940678501,310.03954310320694,16.61649098562,824,16.74065167848,974
bunty,BCP_Nootsie,2022-10-31,02:30:03,12.849609375,89.80859395746779,982.0416881153008,310.48601512031695,16.72543867482,1016,16.74065167848,925
bunty,BCP_Nootsie,2022-10-31,02:40:02,12.647265625,89.79497396467356,982.1450903485138,310.1414410224106,16.61649098562,989,16.84283972814,1015
bunty,BCP_Nootsie,2022-10-31,02:50:03,12.485546875,89.8973323163399,982.1199209750273,309.8040491582257,9.829294088940001,973,16.6384788876,1015
bunty,BCP_Nootsie,2022-10-31,03:00:02,12.485546875,89.88067212905416,982.0467419672208,310.3150924742551,16.72543867482,1016,16.6384788876,955
bunty,BCP_Nootsie,2022-10-31,03:10:03,12.571484375,90.26799745828188,982.0548580122064,310.4590702443323,16.61649098562,722,16.74065167848,1014
bunty,BCP_Nootsie,2022-10-31,03:20:02,12.541015625,90.80866267379821,982.0292735798471,310.7602740648712,16.41139772364,946,17.05356347994,1015
bunty,BCP_Nootsie,2022-10-31,03:30:03,12.369140625,91.55674808770735,981.987075632946,311.22005695866204,16.8279929352,1004,16.6384788876,912
bunty,BCP_Nootsie,2022-10-31,03:40:02,12.3236328125,91.92111450453874,981.9650077540732,311.2526552667881,16.61649098562,991,17.05356347994,918
bunty,BCP_Nootsie,2022-10-31,03:50:03,12.273046875,92.66812733451403,981.9857258958602,310.9184500400676,15.988393824480001,978,16.84283972814,1015
bunty,BCP_Nootsie,2022-10-31,04:00:02,12.20234375,92.33735909750337,981.9302796774324,311.39228119960586,15.88585482288,1013,16.6384788876,1011
bunty,BCP_Nootsie,2022-10-31,04:10:03,12.1263671875,93.25161199744717,982.0500989254567,310.5406146982904,16.30885872204,1015,16.74065167848,1015
bunty,BCP_Nootsie,2022-10-31,04:20:02,12.0404296875,93.54550235089009,981.8944118361044,311.76968465141056,16.41139772364,1015,16.84283972814,1015
bunty,BCP_Nootsie,2022-10-31,04:30:02,12.101171875,93.86897629213253,982.0065605251862,311.0957979038119,16.30885872204,915,16.6384788876,1015
bunty,BCP_Nootsie,2022-10-31,04:40:02,12.4400390625,98.43946583913365,982.0611683701292,310.19111221857025,16.30885872204,713,16.6384788876,1014
bunty,BCP_Nootsie,2022-10-31,04:50:02,12.7080078125,97.15281826435348,982.0479714126102,310.4305648658637,16.41139772364,854,16.74065167848,1010
bunty,BCP_Nootsie,2022-10-31,05:00:02,12.657421875,96.49438111510793,981.9891495828473,311.0471622892913,16.30885872204,1015,16.74065167848,1015
bunty,BCP_Nootsie,2022-10-31,05:10:02,12.6068359375,95.63833167510369,982.0982650577836,310.0729877341293,16.51393672524,1015,16.94501251902,941
